"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\ED M J\Documents\Dilogue 001\lesson 01\Dilogue-001-lesson-01\index02.html", "HTML", 11, 0, 0, 11
"c:\Users\ED M J\Documents\Dilogue 001\lesson 01\Dilogue-001-lesson-01\index03.html", "HTML", 54, 0, 1, 55
"c:\Users\ED M J\Documents\Dilogue 001\lesson 01\Dilogue-001-lesson-01\index04.html", "HTML", 25, 0, 0, 25
"c:\Users\ED M J\Documents\Dilogue 001\lesson 01\Dilogue-001-lesson-01\index05.html", "HTML", 52, 0, 0, 52
"Total", "-", 142, 0, 1, 143
